provider_org_code,treatment_function_code,n_months,cluster,pressure_index_0_100,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,kh03_occupancy,cluster_mean_pressure,cluster_size
RBL,C_100,84,1,38.620574562402815,-0.6053593501677555,0.20481190476190475,0.015873162555268397,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_101,84,1,54.73232523094019,0.028400780107264777,0.3420130952380952,0.03429903413549379,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_110,84,1,59.40509167655982,-0.04676018312008449,0.42250952380952383,0.03286649054775005,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_120,84,1,56.20480627405835,0.9912042659784422,0.3605083333333333,0.028623951384193904,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_130,84,1,54.956070399283696,0.1382144866950719,0.3853845238095238,0.02312918336053133,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_140,84,1,63.92276544631115,0.17936259310168456,0.42865476190476187,0.04700165765005987,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_300,81,1,44.51992132836482,1.5805523590333719,0.20914556962025319,0.015026863263524756,0.08907160493827161,0.3302037037037037,0.8866999999999999,54.271483523564385,135
RBL,C_301,84,1,53.76349566100259,0.8675851175851176,0.37054166666666666,0.014294422723269676,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_320,84,1,49.16687652144716,0.718441289559302,0.3284142857142857,0.006426773057160922,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_330,84,1,48.85229421240501,0.25258482597932136,0.3449190476190476,0.006322922185880335,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_340,84,1,51.59379709241205,1.3964877948295398,0.36369523809523807,0.003836706810648227,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_410,84,1,46.06222494034129,-0.07589727285572982,0.31579761904761905,0.007935485177093119,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_430,84,1,31.88533534793923,0.14364330637915543,0.10805714285714287,0.0003732769212278313,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
RBL,C_502,84,1,66.63199066246158,0.9467958512076158,0.4468309523809524,0.05928828431779941,0.08845238095238095,0.3312833333333333,0.8881857142857144,54.271483523564385,135
