provider_org_code,treatment_function_code,period,period_month,waiting_list_size,baseline_wl,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,ae_pressure_imputed,kh03_occupancy,pressure_index_raw,pressure_index_0_100
RJR,C_410,RTT-DECEMBER-2019,2019-12-01,369.0,327.0,0.12844036697247696,0.1084,0.0,0.0834,0.2933,False,0.9896,-0.40570254541615425,36.978641488679074
RWW,C_301,RTT-DECEMBER-2019,2019-12-01,1209.0,1031.6666666666667,0.1718901453957995,0.0645,0.0,0.0018,0.24019999999999997,False,0.8875,-1.2156096432055017,16.73847282060684
RBL,C_120,RTT-DECEMBER-2020,2020-12-01,1086.0,1254.6666666666667,-0.1344314558979809,0.3619,0.03222836095764273,0.0515,0.2822,False,0.8326,-0.33904033960612545,39.02282519020992
RBL,C_130,RTT-DECEMBER-2020,2020-12-01,2151.0,2369.3333333333335,-0.09214969048958921,0.3868,0.029753602975360297,0.0515,0.2822,False,0.8326,-0.2959925777483612,40.260335502795854
RBL,C_320,RTT-DECEMBER-2020,2020-12-01,564.0,805.0,-0.29937888198757767,0.1241,0.0017730496453900709,0.0515,0.2822,False,0.8326,-1.21980209550363,16.600971674763958
RBL,C_410,RTT-DECEMBER-2020,2020-12-01,345.0,674.0,-0.4881305637982196,0.2029,0.002898550724637681,0.0515,0.2822,False,0.8326,-1.0308643813997733,20.955174626455218
RBL,C_340,RTT-DECEMBER-2020,2020-12-01,1145.0,924.6666666666666,0.23828406633020904,0.3939,0.027074235807860263,0.0515,0.2822,False,0.8326,-0.2734266842207085,40.902007516729306
RBL,C_430,RTT-DECEMBER-2020,2020-12-01,112.0,106.0,0.05660377358490565,0.1786,0.0,0.0515,0.2822,False,0.8326,-1.0691854527784037,19.955999633330276
RBN,C_160,RTT-DECEMBER-2020,2020-12-01,3573.0,2049.0,0.7437774524158125,0.4626,0.03610411418975651,0.3165,0.18700000000000006,False,0.8811,-0.4507492828832116,35.71363094692456
RBN,C_301,RTT-DECEMBER-2020,2020-12-01,1940.0,1773.3333333333333,0.09398496240601517,0.0804,0.0010309278350515464,0.3165,0.18700000000000006,False,0.8811,-1.774506798847217,8.497570813090109
RBN,C_140,RTT-DECEMBER-2020,2020-12-01,472.0,364.3333333333333,0.29551692589204026,0.3114,0.00211864406779661,0.3165,0.18700000000000006,False,0.8811,-1.1738480470495074,17.545146209551746
RBQ,C_100,RTT-DECEMBER-2020,2020-12-01,2.0,2.0,0.0,0.0,0.0,0.2571,0.19205555555555553,True,0.7576,-2.5445845070024555,4.216701805848382
RBS,X01,RTT-DECEMBER-2020,2020-12-01,10538.0,12861.0,-0.18062359070056766,0.4004,0.017555513380148036,0.0775,0.013800000000000034,False,0.6214,-2.803421977573147,3.2083600696672474
RBT,C_130,RTT-DECEMBER-2020,2020-12-01,2455.0,1747.0,0.40526617057813397,0.1845,0.01670061099796334,0.3932,0.2883,False,0.7522,-1.590955193358855,10.660922174351454
RBT,C_120,RTT-DECEMBER-2020,2020-12-01,2050.0,1515.0,0.3531353135313531,0.2444,0.004878048780487805,0.3932,0.2883,False,0.7522,-1.5542820414384086,11.16509304244202
RBT,C_301,RTT-DECEMBER-2020,2020-12-01,1105.0,696.0,0.5876436781609196,0.1756,0.0027149321266968325,0.3932,0.2883,False,0.7522,-1.723779506716626,9.111742597854983
RBT,X01,RTT-DECEMBER-2020,2020-12-01,2066.0,2493.3333333333335,-0.1713903743315508,0.2033,0.0,0.3932,0.2883,False,0.7522,-1.7469433090863484,8.772573104775873
RBT,C_502,RTT-DECEMBER-2020,2020-12-01,1251.0,1098.3333333333333,0.13899848254931713,0.2262,0.023181454836131096,0.3932,0.2883,False,0.7522,-1.4523071472553504,12.778439820331835
RBT,C_430,RTT-DECEMBER-2020,2020-12-01,46.0,51.0,-0.0980392156862745,0.2174,0.0,0.3932,0.2883,False,0.7522,-1.7054746427033152,9.285910715922633
REP,C_502,RTT-DECEMBER-2020,2020-12-01,8262.0,5701.666666666667,0.44904998538439056,0.3837,0.006172839506172839,0.1532,0.034399999999999986,False,0.4743,-3.6233003930221774,1.2833440278668988
RJN,C_110,RTT-DECEMBER-2020,2020-12-01,1539.0,1255.3333333333333,0.2259691980881573,0.5926,0.17089018843404807,0.5591,0.2905,False,0.7242,0.5085489769830422,63.65386378219819
RJN,C_340,RTT-DECEMBER-2020,2020-12-01,160.0,215.66666666666666,-0.25811437403400306,0.3,0.0,0.5591,0.2905,False,0.7242,-1.8106862634372973,8.130901090842425
RJR,C_301,RTT-DECEMBER-2020,2020-12-01,1097.0,1057.0,0.03784295175023655,0.4348,0.022789425706472195,0.2208,0.20999999999999996,False,0.9819,0.02188995241110664,48.8404070033917
RWW,C_110,RTT-DECEMBER-2020,2020-12-01,2141.0,1660.3333333333333,0.28950010038144947,0.4587,0.12424100887435778,0.402,0.245,False,0.8809,0.4973616736510235,63.2780273168943
RWW,C_130,RTT-DECEMBER-2020,2020-12-01,2273.0,2444.6666666666665,-0.07022088901008994,0.2354,0.02243730752309723,0.402,0.245,False,0.8809,-1.0120947284736546,21.413511779264827
RWW,C_100,RTT-DECEMBER-2020,2020-12-01,641.0,399.0,0.6065162907268171,0.4212,0.08892355694227769,0.402,0.245,False,0.8809,0.11196608102118454,51.44376203135026
RWW,C_340,RTT-DECEMBER-2020,2020-12-01,562.0,617.0,-0.08914100486223664,0.1139,0.0,0.402,0.245,False,0.8809,-1.5187144236763879,11.797598313319279
RWW,C_502,RTT-DECEMBER-2020,2020-12-01,2138.0,1880.3333333333333,0.1370324410565502,0.2166,0.02806361085126286,0.402,0.245,False,0.8809,-0.9893135376893608,21.991016591804932
RWW,X01,RTT-DECEMBER-2020,2020-12-01,6494.0,6216.0,0.044723294723294726,0.2073,0.019402525408068985,0.402,0.245,False,0.8809,-1.0991457861299216,19.18599321661014
RWW,C_410,RTT-DECEMBER-2020,2020-12-01,339.0,399.6666666666667,-0.15179316096747297,0.1003,0.0,0.402,0.245,False,0.8809,-1.5579952945369095,11.091759097992483
RBL,C_140,RTT-DECEMBER-2021,2021-12-01,1339.0,1489.6666666666667,-0.10114119489818751,0.4115,0.08663181478715459,0.1024,0.3943,False,0.9104,1.178338231212989,81.97818315152627
RBN,C_101,RTT-DECEMBER-2021,2021-12-01,1879.0,1662.3333333333333,0.13033888109083613,0.2725,0.05534858967535923,0.2506,0.30000000000000004,False,0.9584,0.21201151137753033,54.166284719039325
