subset,independent_var,outcome,n,rho,p_value,boot_ci_low_p5,boot_ci_high_p95,boot_mean
all_12_core_providers,imd_avg_rank,mean_pressure_index,12,0.48766301386094724,0.10777946084979965,0.03047313574811998,0.843396289105056,0.46191260737192513
all_12_core_providers,health_avg_rank,mean_pressure_index,12,0.48766301386094724,0.10777946084979965,0.027639115245186145,0.836801364923068,0.4565217394788173
all_12_core_providers,imd_avg_rank,mean_rtt_over18_share,12,0.16740670625077295,0.6030336579757614,-0.35977901371530047,0.5990174980878679,0.1508978588429355
all_12_core_providers,imd_avg_rank,consultants_per_1000_fte,12,-0.5895627481005481,0.04364315539987961,-0.9406870288948048,0.018118915472444763,-0.5736620130830354
excl_5_specialist_centres_n7,imd_avg_rank,mean_pressure_index,7,0.30631873731649006,0.5040270086665881,-0.429925318137234,0.8178608201095308,0.2740551533249857
excl_5_specialist_centres_n7,health_avg_rank,mean_pressure_index,7,0.30631873731649006,0.5040270086665881,-0.4339622641509435,0.8178608201095308,0.2625969662845932
excl_5_specialist_centres_n7,imd_avg_rank,mean_rtt_over18_share,7,0.2882999880625789,0.5306506599466652,-0.6226415094339625,0.8867924528301889,0.2559327638766084
excl_5_specialist_centres_n7,imd_avg_rank,consultants_per_1000_fte,7,-0.5225437283634242,0.22887787757609496,-0.9903379376602872,0.37254901960784315,-0.4749847104567564
