budget,total_inhouse_units,total_outsource_units,total_diagnostic_units,total_reduction,total_cost,pct_reduction
2000000,0.0,0.0,8086.5398772379,8086.5398772379,2000000.0,0.0272931913
5000000,0.0,0.0,20216.3496930948,20216.3496930948,5000000.0,0.0682329783
10000000,0.0,0.0,40432.6993861896,40432.6993861896,10000000.0,0.1364659565
15000000,0.0,0.0,60649.0490792844,60649.0490792844,15000000.0,0.2046989348
25000000,0.0,0.0,101081.7484654739,101081.7484654739,25000000.0,0.3411648913
40000000,0.0,0.0,161730.7975447583,161730.7975447583,40000000.0,0.5458638261
60000000,0.0,0.0,242596.1963171374,242596.1963171374,60000000.0,0.8187957391
90000000,41488.3992715318,39294.6410317771,209566.2151417154,290349.2554450243,89999999.99999999,0.9799689229
130000000,63095.8447977961,39294.6410317771,187958.7696154511,290349.2554450243,94865235.63139026,0.9799689229
