provider_org_code,period_month,pressure_index_0_100,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,kh03_occupancy
RBL,2019-04-01,29.26146606777279,0.04889295876251038,0.18093333333333333,0.0,0.0053,0.2643,0.9127
RBL,2019-05-01,19.61010786200996,0.017791943578916315,0.16612,0.0,0.0068,0.18889999999999996,0.9127
RBL,2019-06-01,18.61521068231124,-0.06668490234142674,0.19646666666666668,0.0,0.0047,0.16529999999999997,0.9127
RBL,2019-07-01,19.039325327711065,-0.08295295026995625,0.17978666666666668,0.0,0.0083,0.18069999999999997,0.9108
RBL,2019-08-01,21.249121520457113,-0.049054067968365714,0.181,0.0,0.0166,0.20140000000000002,0.9108
RBL,2019-09-01,27.611539619973026,-0.040500201335423036,0.20334285714285713,0.0,0.0089,0.2438,0.9108
RBL,2019-10-01,33.38772267546674,-0.07835331587880742,0.19712,0.0,0.0053,0.2732,0.9285
RBL,2019-11-01,36.4585815992911,-0.07743086912498184,0.20654,0.0,0.0082,0.2921000000000001,0.9285
RBL,2019-12-01,34.553121276010636,-0.06409820012138998,0.2044,0.0,0.0093,0.27869999999999995,0.9285
RBL,2020-01-01,30.85953494056895,-0.10329785794618944,0.22604,0.0,0.012,0.2952,0.8778
RBL,2020-02-01,37.70892535215571,-0.11951248797359486,0.26796666666666663,0.0,0.0048,0.32430000000000003,0.8778
RBL,2020-03-01,30.04002811134537,-0.13836159554209876,0.2641,0.0005743969808620348,0.0325,0.27280000000000004,0.8778
RBL,2020-04-01,1.670180584838207,-0.16849413570199762,0.31662,0.0022209790011211445,0.5479,0.14549999999999993,0.5201
RBL,2020-05-01,1.5033458612155102,-0.13577112711918277,0.4059466666666667,0.007972249133485208,0.5348,0.06340000000000001,0.5201
RBL,2020-06-01,3.512695939132826,-0.11718479123652373,0.5099866666666667,0.015496538070900812,0.251,0.0999,0.5201
RBL,2020-07-01,11.198704433648057,0.033468477852991986,0.5421333333333334,0.022681960986285117,0.21160000000000004,0.0956,0.6945
RBL,2020-08-01,12.644605371711432,0.07173250544851566,0.4464666666666667,0.025188430768554537,0.1651,0.15039999999999998,0.6945
RBL,2020-09-01,17.004919485440155,-0.0035313971975060292,0.37912666666666667,0.028372867944255604,0.1122,0.23119999999999996,0.6945
RBL,2020-10-01,35.84074311730375,-0.09459057025654334,0.32377333333333336,0.030506115389063893,0.0948,0.2842,0.8326
RBL,2020-11-01,29.596794258999775,-0.14354198243252783,0.30040000000000006,0.03248652939311657,0.0629,0.238,0.8326
RBL,2020-12-01,33.385278210651755,-0.17002392122762594,0.2782,0.02904252461644752,0.0515,0.28220000000000006,0.8326
RBL,2021-01-01,51.76765361933572,-0.13343607234663696,0.29550666666666664,0.03950510469485237,0.0597,0.35440000000000005,0.875
RBL,2021-02-01,39.41577290921869,-0.1077093700120212,0.30418666666666666,0.049265825690888415,0.057,0.23180000000000003,0.875
RBL,2021-03-01,42.393131053869894,-0.05303742655110286,0.30452666666666667,0.06246897173116754,0.0265,0.22199999999999998,0.875
RBL,2021-04-01,33.3419908128864,-0.06623102730001872,0.25155,0.03118910088304122,0.0226,0.23929999999999996,0.8749
RBL,2021-05-01,33.56301117324126,0.019892384999053644,0.23894444444444446,0.022491398287787238,0.0147,0.26480000000000004,0.8749
RBL,2021-06-01,25.50391623633901,0.07307401294131102,0.21586666666666665,0.01852362348886584,0.0323,0.22019999999999995,0.8749
RBL,2021-07-01,37.458876972122916,0.11038280143630669,0.21214999999999998,0.017147465472132414,0.1247,0.3216,0.8918000000000001
RBL,2021-08-01,39.80709098501747,0.14836125246413182,0.22028333333333333,0.017477092010271544,0.1395,0.33720000000000006,0.8918000000000001
RBL,2021-09-01,45.554638881249936,0.01344570700155465,0.22647222222222224,0.018519659752030744,0.0873,0.36560000000000004,0.8918000000000001
RBL,2021-10-01,52.60844766298979,-0.005968511481354268,0.26043333333333335,0.017988583684442186,0.05650000000000001,0.3739,0.9104
RBL,2021-11-01,55.12624642242389,-0.030311961844175013,0.24970555555555554,0.015652299224419505,0.0703,0.4051,0.9104
RBL,2021-12-01,54.58948269013353,0.02431634211697366,0.27121666666666666,0.016500575473324886,0.1024,0.3943,0.9104
RBL,2022-01-01,58.56784917652092,0.05645501622659518,0.28344444444444444,0.013520872636739914,0.1271,0.40890000000000004,0.9263
RBL,2022-02-01,55.108422199814626,0.088873828678847,0.3139166666666667,0.013879614103369787,0.1356,0.36950000000000005,0.9263
RBL,2022-03-01,54.7524470111325,0.11297463109984755,0.28022222222222226,0.014142005828649174,0.1479,0.38549999999999995,0.9263
RBL,2022-04-01,52.41645532231287,0.1408460521962579,0.2985777777777778,0.016603260846692558,0.1724,0.3687,0.9179
RBL,2022-05-01,52.166916205783195,0.1633381609141236,0.2801222222222222,0.018052161923356666,0.1397,0.36639999999999995,0.9179
RBL,2022-06-01,55.04374573491816,0.19700291339355644,0.33007777777777775,0.021440869277797783,0.1284,0.3548,0.9179
RBL,2022-07-01,60.47504099571201,0.27346666644077555,0.33602777777777776,0.03599532161234527,0.1253,0.37749999999999995,0.9278
RBL,2022-08-01,58.19863313675762,0.30661542808957204,0.3232777777777778,0.03928654302751256,0.1472,0.36419999999999997,0.9278
RBL,2022-09-01,56.50380419836832,0.3501246237049461,0.34546666666666664,0.032636910181421855,0.147,0.3357,0.9278
RBL,2022-10-01,60.39203104470315,0.4158530597131673,0.32861111111111113,0.021705235068943046,0.1319,0.373,0.9366999999999999
RBL,2022-11-01,59.14586325256414,0.36752880773772384,0.33455555555555555,0.02078909408364804,0.12000000000000001,0.3608,0.9366999999999999
RBL,2022-12-01,60.765830455994546,0.4542295874684933,0.3566777777777778,0.021780996654573392,0.1334,0.36050000000000004,0.9366999999999999
RBL,2023-01-01,59.35262423483159,0.5902331520746227,0.33444444444444443,0.020306143666357357,0.1262,0.3428,0.9529000000000001
RBL,2023-02-01,62.07769324003626,0.4714899578583586,0.3492611111111111,0.01943725590987071,0.0969,0.35240000000000005,0.9529000000000001
RBL,2023-03-01,64.03131790804139,0.5729284484082681,0.36616470588235295,0.021126098330424864,0.0789,0.34909999999999997,0.9529000000000001
RBL,2023-04-01,61.548748200352655,0.6027265821705978,0.3678411764705882,0.022280235736666393,0.0838,0.3679,0.916
RBL,2023-05-01,60.66280944498067,0.5527102489840376,0.3488882352941176,0.023172840965987124,0.0525,0.36429999999999996,0.916
RBL,2023-06-01,60.75615444943522,0.460550653618443,0.32814444444444446,0.024541832357742724,0.0453,0.372,0.9159999999999999
RBL,2023-07-01,60.23568714924477,0.5504405333472104,0.33932222222222225,0.023597258776353283,0.049,0.369,0.9095999999999999
RBL,2023-08-01,63.74705900326947,0.6171175782215512,0.34150555555555556,0.025470094870616602,0.0577,0.39159999999999995,0.9095999999999999
RBL,2023-09-01,66.14518083946996,0.6437371735636449,0.3781666666666667,0.028204606372973742,0.0606,0.38739999999999997,0.9095999999999999
RBL,2023-10-01,70.21114064839429,0.6121992372585043,0.3953888888888889,0.03104015945758975,0.0635,0.38180000000000003,0.9327
