provider_org_code,method,backtest_mape,is_winner
RBL,seasonal_naive,3.4764428497309936,True
RBL,linear_trend,8.72039455431634,False
RBL,holt_winters,10.790486761358398,False
RBL,auto_arima,9.717663291058859,False
RBN,seasonal_naive,6.15819354641162,False
RBN,linear_trend,17.614041077255564,False
RBN,holt_winters,1.8245623354657872,True
RBN,auto_arima,6.6902015563458805,False
RBQ,seasonal_naive,10.461917796550697,True
RBQ,linear_trend,22.786895155917865,False
RBQ,holt_winters,15.54716078287047,False
RBQ,auto_arima,17.355726308682865,False
RBS,seasonal_naive,30.705873098678932,False
RBS,linear_trend,61.59771742121025,False
RBS,holt_winters,9.373933426154041,True
RBS,auto_arima,19.65229294999917,False
RBT,seasonal_naive,8.00490991581129,True
RBT,linear_trend,25.194442213940622,False
RBT,holt_winters,11.3077811637478,False
RBT,auto_arima,9.811170524030123,False
REM,seasonal_naive,12.063358342729098,True
REM,linear_trend,45.12967495954644,False
REM,holt_winters,15.150470520245088,False
REM,auto_arima,16.39943635478735,False
REN,seasonal_naive,25.021271213759206,False
REN,linear_trend,43.02343316656198,False
REN,holt_winters,17.717914722959552,False
REN,auto_arima,10.85557963370132,True
REP,seasonal_naive,13.869041295908294,False
REP,linear_trend,49.721873843024085,False
REP,holt_winters,10.770103962998904,True
REP,auto_arima,15.585858048150255,False
RET,seasonal_naive,14.927013589513441,False
RET,linear_trend,20.46652406928289,False
RET,holt_winters,5.961932490418532,False
RET,auto_arima,3.3326255924705643,True
RJN,seasonal_naive,25.994859065984482,False
RJN,linear_trend,17.40484099204154,True
RJN,holt_winters,19.175220665544092,False
RJN,auto_arima,18.623452584100864,False
RJR,seasonal_naive,9.805676922601851,False
RJR,linear_trend,23.170363818359494,False
RJR,holt_winters,14.806641638458947,False
RJR,auto_arima,8.04838510285618,True
RWW,seasonal_naive,6.047611884429106,False
RWW,linear_trend,17.08157139066889,False
RWW,holt_winters,5.212018766393928,True
RWW,auto_arima,10.714974019370695,False
