strategy,A1B1,A1B2,A2B1,A2B2,BASE
S0,42454.0,15873.0,169817.0,63493.0,60649.0
S1,0.0,0.0,0.0,0.0,0.0
S2,0.0,0.0,0.0,0.0,0.0
S3,0.0,0.0,0.0,0.0,0.0
S4,0.0,355.0,0.0,1422.0,0.0
S5,0.0,0.0,0.0,0.0,0.0
S6,13290.0,0.0,53162.0,0.0,14451.0
S7,26581.0,0.0,106324.0,0.0,28902.0
