strategy,A1B1,A1B2,A2B1,A2B2,BASE
S0,25317.0,9396.0,101269.0,37584.0,36167.0
S1,0.0,0.0,0.0,0.0,0.0
S2,0.0,0.0,0.0,0.0,0.0
S3,0.0,0.0,0.0,0.0,0.0
S4,0.0,177.0,0.0,708.0,0.0
S5,0.0,0.0,0.0,0.0,0.0
S6,7960.0,0.0,31842.0,0.0,8687.0
S7,15921.0,0.0,63685.0,0.0,17375.0
